threshold,precision,recall,f1,pre_fault_fpr,median_detection_delay
0.20289474208660657,0.6759984338292874,0.9565096952908587,0.7921541637990364,0.5,1.0
0.20303372850838683,0.6764619453423449,0.9565096952908587,0.7924723162545183,0.4989425981873112,1.0
0.20330133443060897,0.6768280729268771,0.9563711911357341,0.7926759269888647,0.49803625377643507,1.0
0.20356898907883375,0.6772927905836195,0.9563711911357341,0.7929945449325294,0.49697885196374625,1.0
0.20381495427163493,0.6775967013548007,0.9559556786703601,0.7930598644145697,0.4960725075528701,1.0
0.2041079627199505,0.6780626780626781,0.9559556786703601,0.7933789298235531,0.49501510574018126,1.0
0.20453094623144707,0.6785292961069603,0.9559556786703601,0.7936982520699173,0.49395770392749244,1.0
0.20473725895099176,0.6789297658862876,0.9559556786703601,0.7939721615092604,0.4930513595166163,1.0
0.20515923094704797,0.679366016932467,0.9558171745152355,0.7942225802739096,0.4919939577039275,1.0
0.2055230967870451,0.6798029556650246,0.9556786703601108,0.7944732297063903,0.4909365558912387,1.0
0.20620628208331407,0.6801735186828355,0.9555401662049862,0.7946783389967172,0.4900302114803625,1.0
0.2065790321129093,0.6806117414898866,0.9554016620498615,0.7949294151541344,0.4889728096676737,1.0
0.20673204869768286,0.6809834123222749,0.9552631578947368,0.7951348858658058,0.4880664652567976,1.0
0.20705147655289705,0.6814229249011857,0.9551246537396122,0.7953863898500577,0.48700906344410877,1.0
0.20731001931041146,0.6818945911203401,0.9551246537396122,0.7957076097617262,0.48595166163141995,1.0
0.20773069591116597,0.6822993964579005,0.9551246537396122,0.7959831476885786,0.4850453172205438,1.0
0.20793419777382133,0.682740865432221,0.9549861495844876,0.7962353484612275,0.48398791540785496,1.0
0.208284365276586,0.6831830343870776,0.9548476454293628,0.7964877823349316,0.48293051359516614,1.0
0.20842040356403196,0.6835581118603729,0.9547091412742382,0.7966944059177069,0.48202416918429003,1.0
0.20862162595197958,0.684032946313387,0.9547091412742382,0.7970168237266577,0.4809667673716012,1.0
0.20872945155083697,0.684440472644226,0.9547091412742382,0.7972933896246602,0.4800604229607251,1.0
0.2091802922147551,0.6848225822482854,0.9542936288088643,0.7974075574330189,0.4790030211480363,1.0
0.20939851069401483,0.6852993833300179,0.9542936288088643,0.7977306935278453,0.4779456193353474,1.0
0.2098083813681266,0.6857085987261147,0.9542936288088643,0.7980078758397036,0.4770392749244713,1.0
0.2101891719323034,0.6861553784860558,0.9541551246537396,0.7982618771726535,0.47598187311178247,1.0
0.21047643458007445,0.6865656766992226,0.9541551246537396,0.7985394691086125,0.47507552870090636,1.0
0.2108676278747572,0.6869825436408977,0.9538781163434903,0.7987242679037402,0.47401812688821754,1.0
0.21142651933006837,0.6874313666766497,0.9537396121883657,0.7989789406509252,0.4729607250755287,1.0
0.2117529007478725,0.6878121878121878,0.953601108033241,0.7991874637260592,0.47205438066465255,1.0
0.21199242120864528,0.6882935119464161,0.953601108033241,0.7995122800905766,0.47099697885196373,1.0
0.21220252650011096,0.6887755102040817,0.953601108033241,0.7998373605947956,0.4699395770392749,1.0
