threshold,precision,recall,f1,pre_fault_fpr,median_detection_delay
0.2506183276255649,0.6721798554025948,0.9400277008310249,0.7838540162845758,0.5,0.0
0.2508536326817891,0.6726461843409316,0.9400277008310249,0.7841709994222992,0.4989425981873112,0.0
0.2512408272296378,0.6730464101547006,0.9400277008310249,0.7844429033749422,0.49803625377643507,0.0
0.25141726099732475,0.6735139426416592,0.9400277008310249,0.7847603630687403,0.49697885196374625,0.0
0.25163697610497954,0.6738504320190685,0.9397506925207756,0.7848921279426224,0.4960725075528701,0.0
0.25188605209050446,0.6743192208308487,0.9397506925207756,0.7852100451336651,0.49501510574018126,0.0
0.2520050494901907,0.6747886623570363,0.9397506925207756,0.7855282199710565,0.49395770392749244,0.0
0.25220852679174044,0.675191561349388,0.9397506925207756,0.7858011465632057,0.4930513595166163,0.0
0.2523160387635443,0.6756622186815375,0.9397506925207756,0.7861198007183408,0.4919939577039275,0.0
0.2525419968541144,0.6761335326357748,0.9397506925207756,0.7864387134164009,0.4909365558912387,0.0
0.2528334237888815,0.676505783805345,0.939612188365651,0.7866419294990723,0.4900302114803625,0.0
0.2529572467884676,0.6769783454745035,0.939612188365651,0.7869613131488893,0.4889728096676737,0.0
0.2531634630564707,0.6773839241138293,0.939612188365651,0.7872352770525095,0.4880664652567976,0.0
0.2532907758051065,0.6778577138289369,0.939612188365651,0.7875551427908057,0.48700906344410877,0.0
0.25341911949376156,0.6783,0.9394736842105263,0.7878048780487805,0.48595166163141995,0.0
0.2538915313538536,0.6787072243346007,0.9394736842105263,0.7880794701986754,0.4850453172205438,0.0
0.254127709172393,0.679182937819165,0.9394736842105263,0.7884000697390596,0.48398791540785496,0.0
0.2544533035191232,0.6796593186372746,0.9394736842105263,0.7887209302325582,0.48293051359516614,0.0
0.2546580441936209,0.6800360974631505,0.9393351800554016,0.7889257255859942,0.48202416918429003,0.0
0.25481540143973824,0.6805137467389123,0.9393351800554016,0.7892470615617363,0.4809667673716012,0.0
0.2552052496745952,0.6808596103635268,0.9390581717451524,0.7893817673768774,0.4800604229607251,0.0
0.2554127030683481,0.6813385589388001,0.9390581717451524,0.7897035699726284,0.4790030211480363,0.0
0.25563456007000673,0.6817861812330283,0.9389196675900277,0.7899551360484763,0.4779456193353474,0.0
0.25585399631014516,0.6821978464325249,0.9389196675900277,0.7902313924345747,0.4770392749244713,0.0
0.25623565390297326,0.6826787512588117,0.9389196675900277,0.7905539358600583,0.47598187311178247,0.0
0.25644400782044796,0.6830595586012295,0.938781163434903,0.7907600769993584,0.47507552870090636,1.0
0.256647252616068,0.6835098335854766,0.9386426592797784,0.7910125474175663,0.47401812688821754,1.0
0.2568540205771329,0.683960835772686,0.9385041551246538,0.7912652536929994,0.4729607250755287,1.0
0.2569913959710712,0.6843753156246843,0.9385041551246538,0.7915425500846913,0.47205438066465255,1.0
0.2571637415931545,0.6848595108146351,0.9385041551246538,0.7918663082856141,0.47099697885196373,1.0
0.2573852111287226,0.6853125632207162,0.9383656509695291,0.7921197240734246,0.4699395770392749,1.0
0.25762969355708354,0.6857287449392713,0.9383656509695291,0.7923976608187134,0.4690332326283988,1.0
0.2578524056168751,0.6862149296059962,0.9383656509695291,0.7927221669689346,0.46797583081571,1.0
0.2582114960735109,0.6866004459760795,0.9382271468144044,0.7929298841156502,0.4670694864048338,1.0
0.2584889074983894,0.6870879399533422,0.9382271468144044,0.7932548744071668,0.466012084592145,1.0
0.25865423303978136,0.6875761266747868,0.9382271468144044,0.7935801312089973,0.4649546827794562,1.0
0.25902081528362125,0.687995124923827,0.9382271468144044,0.7938591351224658,0.46404833836858006,1.0
0.2591586207465485,0.6884846020937088,0.9382271468144044,0.7941848877425406,0.46299093655589124,1.0
0.25939804640302716,0.6889747762408462,0.9382271468144044,0.7945109078114003,0.4619335347432024,1.0
0.25955761891587037,0.6893638676844783,0.9380886426592798,0.7947198591962452,0.4610271903323263,1.0
0.2596796801101658,0.6898553676919943,0.9380886426592798,0.7950463669444771,0.45996978851963743,1.0
0.2598494198797851,0.6902456426460096,0.9379501385041551,0.7952557101755622,0.4590634441087613,1.0
0.26018377943912047,0.6907384740922072,0.9379501385041551,0.7955827067669172,0.4580060422960725,1.0
0.26027475659631927,0.6912320097989181,0.9379501385041551,0.7959099723805607,0.4569486404833837,1.0
0.2605209500692689,0.6916241062308478,0.9378116343490305,0.7961199294532628,0.45604229607250757,1.0
0.26068181388084466,0.6921189819073904,0.9378116343490305,0.7964476857025231,0.45498489425981875,1.0
0.2608676111036309,0.6925437250690396,0.9378116343490305,0.7967288345002059,0.4540785498489426,1.0
0.2610810728169988,0.6930084962636913,0.9376731301939059,0.7969862852433928,0.45302114803625376,1.0
0.26126454353747985,0.6935054292153248,0.9376731301939059,0.7973148039100223,0.45196374622356494,1.0
0.26160557193827494,0.693900563813429,0.9375346260387811,0.7975257731958764,0.45105740181268883,1.0
0.26178261275475234,0.6943361379027293,0.9372576177285319,0.797713073205234,0.45,1.0
0.2621124323840725,0.6948351986856967,0.9372576177285319,0.7980423374019694,0.4489425981873112,1.0
0.26229214568254294,0.6952635364224802,0.9372576177285319,0.7983247802748776,0.448036253776435,1.0
0.2625822878820901,0.6957639317293851,0.9372576177285319,0.7986545497462528,0.4469788519637462,1.0
0.2628392270777297,0.6961934156378601,0.9372576177285319,0.7989374262101536,0.4460725075528701,1.0
0.26306133487594363,0.6966951508287862,0.9372576177285319,0.7992677021201205,0.44501510574018127,1.0
0.2633577675519324,0.6971976097259427,0.9372576177285319,0.7995982512111545,0.44395770392749245,1.0
0.26346758496771827,0.6976288659793815,0.9372576177285319,0.7998817966903073,0.44305135951661634,1.0
0.263591344890748,0.6981326730630352,0.9372576177285319,0.8002128540176197,0.44199395770392746,1.0
0.2637411045357243,0.6986372083419368,0.9372576177285319,0.8005441854962735,0.44093655589123865,1.0
0.26392682245999083,0.6990702479338843,0.9372576177285319,0.8008284023668639,0.44003021148036253,1.0
0.26404042526358157,0.6995761397704952,0.9372576177285319,0.801160243888001,0.4389728096676737,1.0
0.2641759646253355,0.6999793089178564,0.9371191135734072,0.8013739192230249,0.4380664652567976,1.0
0.2643318025509386,0.7004555808656037,0.9369806094182825,0.8016352648418059,0.4370090634441088,1.0
0.2646339426081943,0.7009016478391543,0.9367036011080332,0.8018258343707392,0.43595166163141996,1.0
0.2649154466896951,0.7013377579591413,0.9367036011080332,0.8021111308782541,0.4350453172205438,1.0
0.26507011438631833,0.7018162947586922,0.9365650969529086,0.8023731830317413,0.433987915407855,1.0
0.2652424566336849,0.702253608889812,0.9365650969529086,0.8026589115081013,0.43308157099697886,1.0
0.2654376765722193,0.7027644980253586,0.9365650969529086,0.802992518703242,0.43202416918429004,1.0
