threshold,precision,recall,f1,pre_fault_fpr,median_detection_delay
0.24966506294896684,0.6725366046695687,0.9415512465373961,0.7846260387811634,0.5,0.0
0.24982105234780605,0.673002673002673,0.9415512465373961,0.7849431326135904,0.4989425981873112,0.0
0.2500409175793485,0.6734026745913819,0.9415512465373961,0.7852151313889691,0.49803625377643507,0.0
0.25033925343578944,0.6738376127689105,0.9414127423822715,0.7854625296122957,0.49697885196374625,0.0
0.25039545099517746,0.6742386667989286,0.9414127423822715,0.7857349286168429,0.4960725075528701,0.0
0.25066101888438097,0.674707166964463,0.9414127423822715,0.7860529663467098,0.49501510574018126,0.0
0.250706799535212,0.6751763186649449,0.9414127423822715,0.786371261641696,0.49395770392749244,0.0
0.25079514702785866,0.6755789682934102,0.9414127423822715,0.7866442914183207,0.4930513595166163,0.0
0.2509322453226975,0.6760171093206008,0.9412742382271468,0.7868928385341284,0.4919939577039275,0.0
0.25116636848621876,0.676488154489349,0.9412742382271468,0.7872118614618325,0.4909365558912387,0.0
0.2513605335566363,0.6768602450443271,0.9411357340720221,0.7874152616026421,0.4900302114803625,0.5
0.2516224462799159,0.6773325358851675,0.9411357340720221,0.7877347553906794,0.4889728096676737,0.5
0.25177311901583194,0.677737881508079,0.9411357340720221,0.7880088136379451,0.4880664652567976,0.5
0.2518725425084371,0.678211398343148,0.9411357340720221,0.7883287893729334,0.48700906344410877,0.5
0.2521356740236616,0.6786855773072313,0.9411357340720221,0.7886490250696379,0.48595166163141995,0.5
0.25227991678393336,0.679092544473316,0.9411357340720221,0.7889237199582028,0.4850453172205438,0.5
0.25252362235455883,0.6795679567956796,0.9411357340720221,0.7892444392821882,0.48398791540785496,0.5
0.2526524553154976,0.6800440352281826,0.9411357340720221,0.7895654194747851,0.48293051359516614,0.5
0.25288319324377434,0.680452633687162,0.9411357340720221,0.7898407532256191,0.48202416918429003,0.5
0.2529997235762099,0.6809299529010923,0.9411357340720221,0.7901622187336472,0.4809667673716012,0.5
0.25316585493303606,0.6813076614520658,0.9409972299168975,0.7903676128431828,0.4800604229607251,1.0
0.25344732124089064,0.6817223727792834,0.9407202216066483,0.7905487982308096,0.4790030211480363,1.0
0.2537458110350075,0.6821378340365682,0.9404432132963989,0.7907301735181088,0.4779456193353474,1.0
0.2540129838821007,0.6825492561318858,0.9404432132963989,0.7910065237651445,0.4770392749244713,1.0
0.25423287797666105,0.683029876269993,0.9404432132963989,0.7913291766214091,0.47598187311178247,1.0
0.2546108117540929,0.6834105093617878,0.9403047091412743,0.7915355019237497,0.47507552870090636,1.0
0.2549510476663705,0.6838924146267754,0.9403047091412743,0.7918586341634104,0.47401812688821754,1.0
0.2551097590399291,0.684375,0.9403047091412743,0.7921820303383897,0.4729607250755287,1.0
0.25531785981956445,0.6847573892867951,0.9401662049861496,0.7923889569835989,0.47205438066465255,1.0
0.2556053796121023,0.6852412679184333,0.9401662049861496,0.792712834287049,0.47099697885196373,1.0
0.25586262988459346,0.6856940796120429,0.9400277008310249,0.7929664680453323,0.4699395770392749,1.0
0.25608812325157465,0.6860782529572339,0.9398891966759003,0.7931739816492316,0.4690332326283988,1.0
0.25639046536983195,0.6865641440712262,0.9398891966759003,0.7934985968194573,0.46797583081571,1.0
0.25665625103025586,0.686981170277384,0.9398891966759003,0.7937770499473622,0.4670694864048338,1.0
0.2567849655072001,0.6874683416067268,0.9398891966759003,0.794102159031069,0.466012084592145,1.0
0.257124222568957,0.6879562043795621,0.9398891966759003,0.7944275345352376,0.4649546827794562,1.0
0.2573608893502045,0.6883749239196592,0.9398891966759003,0.7947066401217942,0.46404833836858006,1.0
0.2576128917404764,0.6888324873096446,0.9397506925207756,0.794961921499707,0.46299093655589124,1.0
0.2578910113038458,0.6892907945539525,0.939612188365651,0.7952174422693704,0.4619335347432024,1.0
0.2580805951520937,0.6897112647417649,0.939612188365651,0.7954971857410882,0.4610271903323263,1.0
0.25827312791530377,0.6902024621019432,0.939612188365651,0.795823801982521,0.45996978851963743,1.0
0.2585809497998696,0.6905610426636799,0.9393351800554016,0.7959626782465818,0.4590634441087613,1.0
0.2587420275119724,0.6910221135228778,0.939196675900277,0.7962191040920567,0.4580060422960725,1.0
0.2590369065657291,0.6914839367669556,0.9390581717451524,0.7964757709251102,0.4569486404833837,1.0
