rule,description,threshold,validation_precision,validation_recall,validation_f1,validation_pre_fault_fpr,validation_median_detection_delay,n_cases_missed,cpu_f1,mem_f1,delay_f1,loss_f1,cpu_detection_delay,mem_detection_delay,delay_detection_delay,loss_detection_delay,eligible
S1,existing control: full-window MSE over all 30x55 elements,0.5130200869197038,0.9470569417786309,0.8200831024930748,0.8790083135391924,0.05,15.0,0,0.9696799550814149,0.9696802646085998,0.8745364647713226,0.6697307944845698,16,7,16,36,False
S2,current-timestep score: MSE at the final timestep only (55 features),0.8249893178835667,0.9440500338066261,0.7735457063711911,0.8503349573690622,0.05,10.0,0,0.9537953795379537,0.9650082012028431,0.8526379624014554,0.5345911949685535,14,5,12,9,True
S3,trailing-5-second score: MSE over the final 5 timesteps (5x55 elements),0.6616460090726414,0.9455502549761474,0.7961218836565097,0.8644258966839611,0.05,14.0,0,0.9585864163445609,0.9641782882143834,0.8555825242718447,0.6160058737151248,14,6,16,20,False
