threshold,precision,recall,f1,pre_fault_fpr,median_detection_delay
0.24228601230250696,0.6705812101910829,0.9332409972299169,0.7804030576789438,0.5,1.5
0.24243887838818126,0.6709503885236103,0.932825484764543,0.780507590682582,0.4989425981873112,1.5
0.2426524037598474,0.6713189113747383,0.9326869806094182,0.7807083647324793,0.49803625377643507,1.5
0.24279287028575508,0.6717877094972067,0.9326869806094182,0.781025284156808,0.49697885196374625,1.5
0.24307033349692736,0.6721900578957876,0.9326869806094182,0.7812971342383106,0.4960725075528701,1.5
0.24325214133055598,0.6726273726273726,0.9325484764542936,0.7815438189204874,0.49501510574018126,1.5
0.24334890911206072,0.6730980705788263,0.9325484764542936,0.7818614643209663,0.49395770392749244,1.5
0.2435087551210522,0.6735020506151845,0.9325484764542936,0.7821339373874658,0.4930513595166163,1.5
0.24373481327168064,0.6739086904285142,0.9322714681440443,0.7823105532310554,0.4919939577039275,1.5
0.24404779769795196,0.6743160637338411,0.931994459833795,0.7824873539159255,0.4909365558912387,2.5
0.24433099683797785,0.6746891295627758,0.9318559556786704,0.7826896230805026,0.4900302114803625,2.5
0.24455105081607992,0.6751630707476166,0.9318559556786704,0.7830084375909223,0.4889728096676737,2.5
0.24472593516685084,0.6755046700813498,0.9315789473684211,0.7831402456773593,0.4880664652567976,2.5
0.24486138205764785,0.6759473313900894,0.9314404432132964,0.7833886656182655,0.48700906344410877,2.5
0.24510717568704893,0.6764232548782941,0.9314404432132964,0.7837081925183546,0.48595166163141995,2.5
0.24540924512121473,0.6767991947659788,0.9313019390581717,0.7839113960944332,0.4850453172205438,2.5
0.24554958248051412,0.6772113640942978,0.9310249307479225,0.7840895835763445,0.48398791540785496,2.5
0.24572814390554273,0.6776892831938703,0.9310249307479225,0.7844098255440808,0.48293051359516614,2.5
0.24578990188470934,0.6780669895076675,0.9308864265927977,0.7846135886061173,0.48202416918429003,2.5
0.2460466361674317,0.6785461887935386,0.9308864265927977,0.7849343065693429,0.4809667673716012,2.5
0.2462641778716253,0.6788925937152672,0.9306094182825485,0.7850674767774728,0.4800604229607251,2.5
0.24640531597044743,0.6793731041456016,0.9306094182825485,0.7853886616014026,0.4790030211480363,2.5
0.24661207350093414,0.6797894949903855,0.9303324099722992,0.7855680954330156,0.4779456193353474,2.5
0.2468151631340251,0.6802025316455697,0.9303324099722992,0.7858438139806961,0.4770392749244713,2.5
0.24688144379139854,0.680685042561816,0.9303324099722992,0.7861657303370787,0.47598187311178247,2.5
0.2470977543653073,0.681099168525654,0.9303324099722992,0.7864418686336494,0.47507552870090636,2.5
0.24733881944080371,0.6815829528158295,0.9303324099722992,0.7867642752562225,0.47401812688821754,2.5
0.24746728940024762,0.6820674248578391,0.9303324099722992,0.7870869463323178,0.4729607250755287,2.5
0.24769673020825883,0.6824186991869918,0.9300554016620498,0.7872215709261429,0.47205438066465255,2.5
0.2479879136160201,0.6828722538649309,0.9299168975069252,0.7874736101337086,0.47099697885196373,2.5
0.24814448249760657,0.6833265472312704,0.9297783933518006,0.7877258859422671,0.4699395770392749,2.5
0.2483102805447304,0.683679706601467,0.9295013850415512,0.787861000234797,0.4690332326283988,2.5
0.24859083633448764,0.684070976952886,0.9290858725761773,0.7879713379537179,0.46797583081571,2.5
0.24882463628843432,0.6844575977140525,0.9289473684210526,0.788177918796639,0.4670694864048338,2.5
0.24899309693408975,0.6849468954248366,0.9289473684210526,0.7885022337173758,0.466012084592145,2.5
0.24919157210405626,0.6854368932038835,0.9289473684210526,0.788826815642458,0.4649546827794562,2.5
0.24957453391946693,0.6857931880945075,0.9286703601108033,0.7889627581337884,0.46404833836858006,2.5
0.24980037934318644,0.6862845445240532,0.9286703601108033,0.7892878163625663,0.46299093655589124,2.5
