candidate,label,run_id,hidden_size,latent_size,n_trainable_parameters,best_epoch,best_val_loss,threshold,validation_precision,validation_recall,validation_f1,validation_pre_fault_fpr,validation_median_detection_delay,cpu_f1,mem_f1,delay_f1,loss_f1,cpu_detection_delay,mem_detection_delay,delay_detection_delay,loss_detection_delay,eligible
A,"existing baseline -- already trained, MUST NOT be retrained",baseline_seed42_h64_z32_mean_impute,64,32,72023,96,0.2736631173353929,0.46091318070665205,0.9453434610303831,0.7929362880886427,0.8624585718589938,0.05,14.5,0.956089478044739,0.9603716862530746,0.8706896551724138,0.598981077147016,14,9,16,103,False
B,lower-capacity model,candidate_B_h32_z16_seed42,32,16,22727,99,0.2975133554293559,0.5130200869197038,0.9470569417786309,0.8200831024930748,0.8790083135391924,0.05,15.0,0.9696799550814149,0.9696802646085998,0.8745364647713226,0.6697307944845698,16,7,16,36,False
C,stronger bottleneck with same hidden size,candidate_C_h64_z16_seed42,64,16,69959,99,0.2712260622244615,0.4422819690106831,0.9460999837160071,0.8047091412742382,0.8696953820821794,0.05,14.5,0.9501096491228069,0.9546318935071991,0.868662186927306,0.6511965192168238,14,9,16,57,False
D,higher-capacity model,candidate_D_h128_z32_seed42,128,32,242263,99,0.26492476004820603,0.4480401053865598,0.9447412353923206,0.7837950138504155,0.8567751703255111,0.05,15,0.9529055356651062,0.9611597374179431,0.8660110633066994,0.5717497189958787,15,9,16,34.5,False
